万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,Unnamed: 66
000001.SZ,1,20231123,92157000,0,0,0,0,0,,,0,0,0,0,0,101600,101700,0,0,0,0,0,0,0,0,0,108300,50200,0,0,0,0,0,0,0,0,101700,0,0,0,0,0,0,0,0,0,108300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92206000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,131400,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,131400,52400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92215000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,133800,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,133800,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92224000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,134000,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,134000,52900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92233000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,145500,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,145500,45400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92242000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,147000,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,147000,43900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92251000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,148600,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,148600,43300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92300000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,148700,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,148700,43200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92309000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,150200,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,150200,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92318000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,152200,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,152200,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92327000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,153000,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,153000,39600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92336000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,157600,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,157600,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92345000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,158100,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,158100,41400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92403000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,158100,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,158100,43700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92412000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,160300,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,160300,43900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92421000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,162600,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,162600,44600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92430000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,179000,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,179000,46900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92439000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,211600,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,211600,16300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92448000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,222500,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,222500,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92457000,0,0,0,0,0,,,0,0,0,0,0,101600,101500,0,0,0,0,0,0,0,0,0,287200,600,0,0,0,0,0,0,0,0,101500,0,0,0,0,0,0,0,0,0,287200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,92500000,101500,297200,3016580,230,0,,,297200,3016580,101500,101500,101500,101600,101500,101600,101700,101800,101900,102000,102100,102200,102300,102400,81200,44800,148400,105600,344240,270800,172000,209900,149500,367300,101400,101300,101200,101100,101000,100900,100800,100700,100600,100500,49400,69200,231300,252700,631400,75600,160200,89200,102800,211100,105100,98100,10587867,5158200,0,0,0,0,0,
000001.SZ,1,20231123,92500000,101500,0,0,230,0,,,297200,3016580,101500,101500,101500,101600,101500,101600,101700,101800,101900,102000,102100,102200,102300,102400,81200,44800,148400,105600,344240,270800,172000,209900,149500,367300,101400,101300,101200,101100,101000,100900,100800,100700,100600,100500,49400,69200,231300,252700,631400,75600,160200,89200,102800,211100,105100,98100,10587867,5158200,0,0,0,0,0,
